"exhibit_id","exhibit_type","module","code_entry","input_data","submitted_output","figshare_dependency","reproduction_level","status"
"Extended Data Figure 5","extended_data","03_dtw_phenotypes","analysis_code/03_dtw_phenotypes/code/cluster_dtw_ward_k4.py; analysis_code/03_dtw_phenotypes/code/make_lowess_lag_decision_figure.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/03_dtw_phenotypes/data/results","figures/extended_data/extended_data_figure_05.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Extended Data Figure 6","extended_data","04_dlnm_response","analysis_code/04_dlnm_response/code/make_integrated_common_basis_figure.py; analysis_code/04_dlnm_response/code/make_partition_robustness_figure.py","analysis_code/04_dlnm_response/data/common_basis/cehwi","figures/extended_data/extended_data_figure_06.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Extended Data Figure 7","extended_data","04_dlnm_response","analysis_code/04_dlnm_response/code/make_national_lag_window_comparison.py","analysis_code/04_dlnm_response/data/lag_window","figures/extended_data/extended_data_figure_07.png","self_contained_compact_redraw","panel_level_reproduction","mapped"
"Extended Data Figure 8","extended_data","06_future_projection","analysis_code/06_future_projection/code/make_figure6_ad.py; analysis_code/06_future_projection/code/make_figure6e.py; analysis_code/06_future_projection/code/make_figure6f.py","analysis_code/06_future_projection/data","figures/extended_data/extended_data_figure_08.jpeg","city_center_coordinates_75cities_for_spatial_reference","compact_panel_or_reference_output","mapped"
"Extended Data Figure 9","extended_data","06_future_projection","analysis_code/06_future_projection/code/make_figure6_ad.py; analysis_code/06_future_projection/code/make_figure6e.py; analysis_code/06_future_projection/code/make_figure6f.py","analysis_code/06_future_projection/data","figures/extended_data/extended_data_figure_09.png","city_center_coordinates_75cities_for_spatial_reference","compact_panel_or_reference_output","mapped"
"Supplementary Figure 1","supplementary","01_descriptive","analysis_code/01_descriptive/code/identify_heatwaves.py; analysis_code/01_descriptive/code/summarize_heatwave_factors.py","controlled descriptive source tables defined by module schemas","figures/supplementary/supplementary_figure_01.jpeg","review_record_spatial_reference","method_archive_and_submitted_reference","reference_mapped"
"Supplementary Figure 2","supplementary","01_descriptive","analysis_code/01_descriptive/code/identify_heatwaves.py; analysis_code/01_descriptive/code/summarize_heatwave_factors.py","controlled descriptive source tables defined by module schemas","figures/supplementary/supplementary_figure_02.jpeg","review_record_spatial_reference","method_archive_and_submitted_reference","reference_mapped"
"Supplementary Figure 3","supplementary","01_descriptive","analysis_code/01_descriptive/code/identify_heatwaves.py; analysis_code/01_descriptive/code/summarize_heatwave_factors.py","controlled descriptive source tables defined by module schemas","figures/supplementary/supplementary_figure_03.jpeg","review_record_spatial_reference","method_archive_and_submitted_reference","reference_mapped"
"Supplementary Figure 4","supplementary","02_ppml_post_event","analysis_code/02_ppml_post_event/code/make_figure2_panels.py; analysis_code/02_ppml_post_event/code/make_city_lag_atlas.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/02_ppml_post_event/data/city_lag_estimates_7day.csv","figures/supplementary/supplementary_figure_04.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 5","supplementary","02_ppml_post_event","analysis_code/02_ppml_post_event/code/make_figure2_panels.py; analysis_code/02_ppml_post_event/code/make_city_lag_atlas.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/02_ppml_post_event/data/city_lag_estimates_7day.csv","figures/supplementary/supplementary_figure_05.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 6","supplementary","02_ppml_post_event","analysis_code/02_ppml_post_event/code/make_figure2_panels.py; analysis_code/02_ppml_post_event/code/make_city_lag_atlas.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/02_ppml_post_event/data/city_lag_estimates_7day.csv","figures/supplementary/supplementary_figure_06.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 7","supplementary","02_ppml_post_event","analysis_code/02_ppml_post_event/code/make_figure2_panels.py; analysis_code/02_ppml_post_event/code/make_city_lag_atlas.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/02_ppml_post_event/data/city_lag_estimates_7day.csv","figures/supplementary/supplementary_figure_07.jpeg","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 8","supplementary","02_ppml_post_event","analysis_code/02_ppml_post_event/code/make_figure2_panels.py; analysis_code/02_ppml_post_event/code/make_city_lag_atlas.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/02_ppml_post_event/data/city_lag_estimates_7day.csv","figures/supplementary/supplementary_figure_08.jpeg","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 9","supplementary","02_ppml_post_event","analysis_code/02_ppml_post_event/code/make_figure2_panels.py; analysis_code/02_ppml_post_event/code/make_city_lag_atlas.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/02_ppml_post_event/data/city_lag_estimates_7day.csv","figures/supplementary/supplementary_figure_09.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 10","supplementary","02_ppml_post_event","analysis_code/02_ppml_post_event/code/make_figure2_panels.py; analysis_code/02_ppml_post_event/code/make_city_lag_atlas.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/02_ppml_post_event/data/city_lag_estimates_7day.csv","figures/supplementary/supplementary_figure_10.jpeg","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 11","supplementary","03_dtw_phenotypes","analysis_code/03_dtw_phenotypes/code/cluster_dtw_ward_k4.py; analysis_code/03_dtw_phenotypes/code/make_lowess_lag_decision_figure.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/03_dtw_phenotypes/data/results","figures/supplementary/supplementary_figure_11.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 12","supplementary","03_dtw_phenotypes","analysis_code/03_dtw_phenotypes/code/cluster_dtw_ward_k4.py; analysis_code/03_dtw_phenotypes/code/make_lowess_lag_decision_figure.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/03_dtw_phenotypes/data/results","figures/supplementary/supplementary_figure_12.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 13","supplementary","03_dtw_phenotypes","analysis_code/03_dtw_phenotypes/code/cluster_dtw_ward_k4.py; analysis_code/03_dtw_phenotypes/code/make_lowess_lag_decision_figure.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/03_dtw_phenotypes/data/results","figures/supplementary/supplementary_figure_13.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 14","supplementary","03_dtw_phenotypes","analysis_code/03_dtw_phenotypes/code/cluster_dtw_ward_k4.py; analysis_code/03_dtw_phenotypes/code/make_lowess_lag_decision_figure.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/03_dtw_phenotypes/data/results","figures/supplementary/supplementary_figure_14.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 15","supplementary","04_dlnm_response","analysis_code/04_dlnm_response/code/make_city_dlnm_lag_atlas.R","analysis_code/04_dlnm_response/data/lag_window","figures/supplementary/supplementary_figure_15.png","self_contained_compact_redraw","panel_level_reproduction","mapped"
"Supplementary Figure 16","supplementary","04_dlnm_response","analysis_code/04_dlnm_response/code/make_city_dlnm_lag_atlas.R","analysis_code/04_dlnm_response/data/lag_window","figures/supplementary/supplementary_figure_16.png","self_contained_compact_redraw","panel_level_reproduction","mapped"
"Supplementary Figure 17","supplementary","04_dlnm_response","analysis_code/04_dlnm_response/code/make_city_dlnm_lag_atlas.R","analysis_code/04_dlnm_response/data/lag_window","figures/supplementary/supplementary_figure_17.png","self_contained_compact_redraw","panel_level_reproduction","mapped"
"Supplementary Figure 18","supplementary","04_dlnm_response","analysis_code/04_dlnm_response/code/make_city_dlnm_lag_atlas.R","analysis_code/04_dlnm_response/data/lag_window","figures/supplementary/supplementary_figure_18.png","self_contained_compact_redraw","panel_level_reproduction","mapped"
"Supplementary Figure 19","supplementary","04_dlnm_response","analysis_code/04_dlnm_response/code/make_exceeded_quantity_figures.py","analysis_code/04_dlnm_response/data/main_figure_input; analysis_code/04_dlnm_response/data/common_basis/exceeded_quantity","figures/supplementary/supplementary_figure_19.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 20","supplementary","04_dlnm_response","analysis_code/04_dlnm_response/code/make_exact_common_basis_fig4.py","analysis_code/04_dlnm_response/data/common_basis/cehwi","figures/supplementary/supplementary_figure_20.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 21","supplementary","04_dlnm_response","analysis_code/04_dlnm_response/code/make_partition_robustness_figure.py","analysis_code/04_dlnm_response/data/common_basis/cehwi; analysis_code/04_dlnm_response/data/common_basis/exceeded_quantity","figures/supplementary/supplementary_figure_21.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Supplementary Figure 22","supplementary","06_future_projection","analysis_code/06_future_projection/code/make_figure6_ad.py; analysis_code/06_future_projection/code/make_figure6e.py; analysis_code/06_future_projection/code/make_figure6f.py","analysis_code/06_future_projection/data","figures/supplementary/supplementary_figure_22.jpeg","city_center_coordinates_75cities_for_spatial_reference","compact_panel_or_reference_output","mapped"
"Supplementary Figure 23","supplementary","06_future_projection","analysis_code/06_future_projection/code/make_figure6_ad.py; analysis_code/06_future_projection/code/make_figure6e.py; analysis_code/06_future_projection/code/make_figure6f.py","analysis_code/06_future_projection/data","figures/supplementary/supplementary_figure_23.jpeg","city_center_coordinates_75cities_for_spatial_reference","compact_panel_or_reference_output","mapped"
"Supplementary Figure 24","supplementary","06_future_projection","analysis_code/06_future_projection/code/make_figure6_ad.py; analysis_code/06_future_projection/code/make_figure6e.py; analysis_code/06_future_projection/code/make_figure6f.py","analysis_code/06_future_projection/data","figures/supplementary/supplementary_figure_24.png","city_center_coordinates_75cities_for_spatial_reference","direct_or_panel_level","mapped"
"Supplementary Figure 25","supplementary","06_future_projection","analysis_code/06_future_projection/code/make_figure6_ad.py; analysis_code/06_future_projection/code/make_figure6e.py; analysis_code/06_future_projection/code/make_figure6f.py","analysis_code/06_future_projection/data","figures/supplementary/supplementary_figure_25.jpeg","city_center_coordinates_75cities_for_spatial_reference","compact_panel_or_reference_output","mapped"
"Supplementary Figure 26","supplementary","06_future_projection","analysis_code/06_future_projection/code/make_figure6_ad.py; analysis_code/06_future_projection/code/make_figure6e.py; analysis_code/06_future_projection/code/make_figure6f.py","analysis_code/06_future_projection/data","figures/supplementary/supplementary_figure_26.jpeg","city_center_coordinates_75cities_for_spatial_reference","compact_panel_or_reference_output","mapped"
"Supplementary Table 1","supplementary_table","03_dtw_phenotypes","analysis_code/03_dtw_phenotypes/code/cluster_dtw_ward_k4.py; analysis_code/03_dtw_phenotypes/code/make_lowess_lag_decision_figure.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/03_dtw_phenotypes/data/results","tables/supplementary/supplementary_table_01_city_characteristics.csv","self_contained_compact_redraw","submitted_table_extract","mapped"
"Supplementary Table 2","supplementary_table","05_be_meta_regression","analysis_code/05_be_meta_regression/code/make_figure5_ab.ipynb; analysis_code/05_be_meta_regression/code/make_figure5_c.ipynb; analysis_code/05_be_meta_regression/code/make_figure5_d.ipynb","analysis_code/05_be_meta_regression/data/figure5_ab; analysis_code/05_be_meta_regression/data/figure5_c; analysis_code/05_be_meta_regression/data/figure5_d","tables/supplementary/supplementary_table_02_be_meta_regression.csv","self_contained_compact_redraw","submitted_table_extract","mapped"
"Supplementary Table 3","supplementary_table","05_be_meta_regression","analysis_code/05_be_meta_regression/code/make_figure5_ab.ipynb; analysis_code/05_be_meta_regression/code/make_figure5_c.ipynb; analysis_code/05_be_meta_regression/code/make_figure5_d.ipynb","analysis_code/05_be_meta_regression/data/figure5_ab; analysis_code/05_be_meta_regression/data/figure5_c; analysis_code/05_be_meta_regression/data/figure5_d","tables/supplementary/supplementary_table_03_heterogeneity_reduction.csv","self_contained_compact_redraw","submitted_table_extract","mapped"
"Supplementary Table 4","supplementary_table","06_future_projection","analysis_code/06_future_projection/code/make_figure6_ad.py; analysis_code/06_future_projection/code/make_figure6e.py; analysis_code/06_future_projection/code/make_figure6f.py","analysis_code/06_future_projection/data","tables/supplementary/supplementary_table_04_cmip6_model_availability.csv","city_center_coordinates_75cities_for_spatial_reference","submitted_table_extract","mapped"
"Supplementary Table 5","supplementary_table","06_future_projection","analysis_code/06_future_projection/code/make_figure6_ad.py; analysis_code/06_future_projection/code/make_figure6e.py; analysis_code/06_future_projection/code/make_figure6f.py","analysis_code/06_future_projection/data","tables/supplementary/supplementary_table_05_projection_summary.csv","city_center_coordinates_75cities_for_spatial_reference","submitted_table_extract","mapped"
